"name","description"
"mass1","$100 million commitment this fiscal year to expand the capacity of the Residential Assistance for Families in Transition (RAFT) program to provide relief to renters and landlords impacted by COVID19"
"mass10","Additionally the Administration also announced today that it will now cover the costs of COVID19 testing at sites dedicated to early education providers"
"mass11","Additionally the Department of Public Health (DPH) and the COVID19 Command Center in consultation with the Reopening Advisory Board and based on feedback from industry labor and community coalitions has developed Mandatory Workplace Safety Standards"
"mass13","After consulting with an epidemiologist from the Department of Public Health a school administrator or the local board of health can request a mobile rapid response unit be deployed by the COVID19 Command Response Center"
"mass17","All providers participating in the†Massachusetts COVID19 Vaccine Program (MCVP)†are required to sign an MCVP Agreement to receive delivery of any COVID19 vaccine"
"mass22","Although we are not ordering the closure of childcare programs at this time we are strongly urging childcare providers to strictly observe guidelines that are being issued by the Department of Early Education and Care (EEC)"
"mass25","Anticipating a surge in COVID19 cases the Administration worked collaboratively with the City of Boston and community partners to provide an additional 1000 beds for COVID19 patients at this new site"
"mass30","As part of EEC's health and safety regulations for licensed childcare programs (606 CMR 711) programs should incorporate any specific practices needed to support the continued prevention of COVID19 transmission into their program policies"
"mass31","As part of its efforts to expand existing health care capacity, the Administration's COVID-19 Response Command Center is working with long-term care facilities to establish dedicated skilled nursing facilities to care for individuals infected with COVID19"
"mass39","Based on this new guidance hotels motels and shortterm rentals may only be used for efforts related to fighting COVID19 like front line health workers or individuals or for Massachusetts residents who have been otherwise displaced from their residences"
"mass43","Below is a list of orders previously†issued by Governor Baker the Department of Public Health and other state agencies to respond to COVID19 along with associated guidance and other related resources"
"mass44","Buoy Health's online 24/7 tool is free for Massachusetts residents and uses current COVID19 guidance from the CDC and Massachusetts Department of Public Health"
"mass48","By working with a wide range of partners we have dramatically increased Massachusetts' COVID19 testing capacity and we are grateful to CVS for their partnership in launching this new rapid testing siteù said Governor Charlie Baker"
"mass51","Can families who attend EEC-affiliated programs contact the EEC Healthline for support with questions on COVID-19†The EEC Healthline is designed to support providers and/or educators implementing EEC's COVID-19 Mitigation Guidelines & Protocols"
"mass52","Capacity of the facility can grow with demand to 250 beds marking a significant increase in clinical capacity to treat homeless individuals who contract COVID19"
"mass53","Cape Cod Field Medical Station: The Joint Base Cape Cod Field Medical Station supports the Administration's strategy to increase hospital bed capacity for COVID19 patients across the Commonwealth through the development of five regional medical facilities"
"mass54","CARES Act Unemployment Benefit Implementation: The Baker-Polito Administration earlier today announced details for the initial implementation of federal unemployment benefits in the CARES Act the federal based COVID19 relief package"
"mass62","Community Health Centers throughout the Commonwealth are open and accepting patients and this campaign encourages residents to continue to seek care for their medical conditions and reminds individuals not to delay treatment"
"mass65","Confirm that your facility has signed and electronically submitted the Massachusetts COVID19 Provider (MCVP) Enrollment Form in the MIIS by contacting the DPH Vaccine Unit at dphvaccinemanagement@massmailstatemaus"
"mass72","COVID19 Demographic Data: The Department of Public Health (DPH) today issued an order designed to expand COVID19 demographic reporting data including race and ethnicity to address disparities in the virus' impact"
"mass74","COVID19 vaccination of homebound persons presents unique challenges to ensure the appropriate vaccine storage temperatures handling and administration to ensure safe and effective vaccination"
"mass78","Currently there are 2429 centerbased programs open and 4373 family child care homes serving children and their families which represents approximately 82 percent of preCOVID child care capacity level"
"mass80","Dashboards include summary statistics about each of the Massachusetts COVID19 Eviction Diversion Initiative programs and are updated on a monthly basis"
"mass84","Developed by the Massachusetts Department of Agricultural Resources (MDAR) in collaboration with the Division of Marine Fisheries (DMF) this platform was established to address COVID19 disruptions to the local food supply"
"mass85","DHCD continues to be in close contact with the stakeholder network and is working with CHAPA and Mass Housing Partnership to track local emergency rental assistance programs and other resources available to those affected by the COVID19 pandemic"
"mass86","DHCD is partnering with Massachusetts Housing Partnership and Citizens' Housing and Planning Association (CHAPA) to provide best practices and technical assistance to Massachusetts municipalities regarding locallyfunded emergency rental assistance program"
"mass87","DHCD is urging operators and owners of private affordable housing to suspend all action on nonemergency evictions during the COVID19 State of Emergency"
"mass88","Directed the Department of Public Health to issue in its place an Advisory for Travelers to Massachusetts to inform the public of appropriate safety measures to reduce COVID19 transmission"
"mass89","Do EEC's COVID-19 Mitigation Protocols and Guidelines update reporting requirements for positive cases, exposures EEC requires programs to log an incident report in LEAD for any COVID-19 related issue that impacts program operations"
"mass91","DPH asks hospitals to carefully review guidance from the CDC and DPH†with all healthcare personnel to care for patients with suspected or confirmed COVID19"
"mass92","DPH COVID19 Information for Local Boards of Health†includes updates on public health guidance materials for communicating with the public and shareable preparedness resources"
"mass93","DPH Guidance updated January 27 2022:†Updated Guidance for Implementing Order of the Commissioner of the Public Health Regarding Control of COVID19 in LongTerm Care Facilities"
"mass94","DPH strongly encourages the primary and backup vaccine coordinators at each site and providers administering COVID19 vaccine to complete the trainings in vaccine storage and handling and administration found at Massachusetts COVID19 Vaccine Program (MCVP)"
"mass96","Due to evolving spread of COVID19 in Massachusetts Governor Baker has directed the Department of Public Health to issue a stay at home advisory outlining selfisolation and social distancing protocols"
"mass103","Earlier this week the Administration announced nearly $49 million in grants through the Massachusetts Growth Capital Corporation (MGCC) COVID19 Small Business Program to support over 1158 small businesses"
"mass105","EEC has started a new partnership with Neighborhood Villages and Primary Health to develop the EEC Healthline to support programs with implementing the Testing for Child Care Program and navigating COVID19†Mitigation Protocols and Guidelines"
"mass106","EEC is launchingØTesting for Child CareØa testing†initiative†that will provide EECaffiliatedØchild careØprograms access to free COVID19 tests resources training and protocols"
"mass108","Emergency Limited Medical Licenses:†The Board of Registration in Medicine will provide medical school graduates who have matched as an intern resident or fellow with a Massachusetts health care facility"
"mass111","Enhanced contact tracing capability is another powerful tool for public health officials and health care providers in the battle against COVID19ù†said Governor Charlie Baker"
"mass114","Every individual family and community in the Commonwealth should have access to nutritious food and the Command Center's Food Security Task Force has been working to address the increase in food insecurity†for†families as a result of the COVID19 pandemicù"
"mass115","Executive Branch Employee Guidance:†The Baker-Polito Administration today also extended the guidance issued to Executive Branch employees on protocol during the COVID19 outbreak to ensure state government can continue to provide key services"
"mass116","Expanded COVID19 Response Reporting: To support ongoing preparations for a surge in COVID19 cases Baker-Polito Administration today announced the expansion of COVID19 response reporting to include statewide hospital capacity and PPE distribution data"
"mass117","Expanded Small Business Resources:†Earlier this week the Administration announced a†$10 Million Small Business Recovery Loan Fund†to provide financial relief to small businesses and nonprofits impacted by COVID19"
"mass118","Face Coverings and Cloth Masks Advisory:† The Baker-Polito Administration today issued guidance to residents and Executive Branch employees recommending the use of a face covering or cloth mask"
"mass129","Financial Support For Health Care Providers:†The Administration's COVID19 Response Command Center continues to identify and prioritize efforts to ensure the Commonwealth's health care system has the resources it needs to support the response to COVID19"
"mass135","For additional resources†visit the†MIRA Coalition's COVID19 resources page†and the†City of Boston's COVID19 Resource Guide for Boston's Immigrants"
"mass136","Baker-Polito Administration Announces Extension of School and NonEmergency Child Care Program Closures and Steps to Ensure Housing Stability To Support COVID19 Response"
"mass137","Baker-Polito Administration Announces Field Medical Station Details New Support for Health Care Workforce Expanded COVID19 Data Reporting and Domestic Violence Resources"
"mass138","Baker-Polito Administration Announces Increased Resources For Health Care Providers Expanded Support For LongTerm Care Facilities COVID19 Testing Initiatives"
"mass139","Baker-Polito Administration Announces Launch of Pilot to Provide Dedicated COVID19 Testing Sites to Child Care Programs Expanded Resources for Providers"
"mass140","Baker-Polito Administration Issues Further Public Health Guidance to Mitigate Spread of COVID19 Expands First Responder Testing Sites to Include Grocery Store Workers and Authorizes Increased National Guard Activation"
"mass145","For instance the Massachusetts Growth Capital Corporation (MGCC) will be administering funds from the Community Development Block Grant COVID19 Program to 23 municipalities to provide micrnterprise assistance up to $10000"
"mass150","For the latest information including links to find a vaccination site and information on vaccine safety please visit†Massachusetts COVID19 Vaccine Information"
"mass152","Funding recipients will coordinate with the COVID19 Enforcement and Intervention Team (CEIT) a component of the Commonwealth's Command Center to develop training materials share best practices and create messaging"
"mass154","Furthermore for information about the Baker-Polito Administration's ongoing efforts to mitigate the spread of COVID19 please visit the Department of Public Health's (DPH)†website"
"mass155","Furthermore MassHealth contracts with three telehealth providers to offer additional support for members with questions about symptoms that might be related to COVID19"
"mass158","Given the evolving data regarding cases of COVID19 and out of an abundance of caution for the health and safety of children and school staff the Governor is ordering a 3week suspension of school operations for educational purposes"
"mass159","Governor Baker on Tuesday†formally requested†disaster relief from the federal Small Business Administration and with this week's†announcement that that request had been granted Massachusetts businesses impacted by COVID19 may now apply"
"mass160","Governor Charlie Baker has asked Health and Human Services Secretary Marylou Sudders to lead this crosssecretariat response to the outbreak of COVID19 to complement the work that has been underway for weeks across state government to keep residents safe"
"mass161","Governor Charlie Baker's emergency order requiring that all businesses and organizations that do not provide COVID-19 Essential Servicesù close their physical workplaces and facilities to workers, customers and the public will be extended until May 4."
"mass162","Governor Karyn Polito will be the Commonwealth's single point of strategic decision making and coordination for the Administration's comprehensive COVID19 response"
"mass163","Governors COVID19 Order #64:†Amends COVID19 Order #47 so as to permit drivers who renewed their license or identification for a standard ID during the State of Emergency to upgrade to a REAL ID at no extra cost beginning on a date set by the Registrar"
"mass164","Grocery Store Worker Priority Testing: The Baker-Polito Administration and the Executive Office of Public Safety and Security today expanded access to the free priority COVID19 testing sites for first responders"
"mass165","Guidance for storage handling preparation and administration is different for each COVID19 vaccine product and healthcare professionals administering COVID19 vaccines should be knowledgeable about requirements and best practices"
"mass167","Health and Human Services Secretary Marylou Sudders and DPH†Commissioner Dr. Monica Bharel have coordinated with Massachusetts medical schools to facilitate early graduation of their qualified fourth-year students to allow graduates"
"mass168","Health Care Professional Volunteers:†To support ongoing COVID19 emergency response efforts the Baker-Polito Administration has partnered with the Massachusetts Medical Society to match volunteers with our communities and health care providers"
"mass169","Healthcare professionals or retired (past 5 years) physicians nurses or practical nurses who are licensed/previously licensed to administer COVID19 vaccine but have not done so in the last 12 months"
"mass174","If allowed the waiver would enable the Commonwealth to fasttrack MassHealth enrollment streamline administrative requirements for providers and deliver critically needed health care services easier during the COVID19 emergency"
"mass176","If you are interested in offering COVID19 vaccine in your practice learn more about becoming a COVID19 Vaccination Provider at Massachusetts COVID19 Vaccine Program (MCVP) Overview"
"mass185","If you have questions about the PPP Massachusetts Growth Capital Corporation (MGCC) has compiled a list of organizations and contact information for individuals at those organizations helping businesses through the process of PPP"
"mass188","If you test positive for COVID19 on either a rapid antigen (athome) or PCR test you should selfisolate in accordance with Massachusetts Isolation Guidance and notify your close contacts that they may have been exposed to COVID19"
"mass190","If you would like to report an unsafe working condition related to COVID19 you may report your concern to the Occupational Safety and Health Administration (OSHA) at: 18003216742"
"mass191","In addition the City of Chicopee has established the Emergency Response Grant Program that offers grants up to $10000; and†the City of Framingham has established the COVID19 Emergency Small Business Grant Program that offers grants up to $10000"
"mass195","In addition to the mobile testing unit the Administration will extend the Stop the Spread initiative through September 30 in certain communities with higher rates of COVID19 to help cities and towns as students begin to return to school"
"mass196","In anticipation of a surge in COVID19 cases the Commonwealth through the Massachusetts Emergency Management Agency requested and received approval for the temporary field medical station which will be used to treat lower acuity care needs"
"mass197","In collaboration with the COVID19 Vaccine Advisory Group the Administration designated groups of medical workers first responders and residents most at risk for serious illness to receive the vaccine before the general population"
"mass198","In February 2022 EEC†updated its†COVID19†Mitigation Protocols and Guidelines†for Child CareØto provide†guidance†related to COVID19 quarantine isolation and mitigationØstrategies"
"mass199","In January the Administration partnered with private and philanthropic funders including supporters from the Massachusetts Early Education Funder Collaborative and BayCoast Bank to launch a pilot COVID19 testing program dedicated to providing ondemand PCR"
"mass200","In March the Commonwealth acted quickly to take precautions in restricting visitation at nursing homes rest homes and ALRs to protect resident safety and mitigate the spread of COVID19"
"mass203","In partnership with the Mass League of Community Health Centers the Baker-Polito Administration today announced an upcoming new COVID19 public awareness campaign New Tools New Rules ì Same Great Careù"
"mass206","Included in the federal†Coronavirus Aid Relief and Economic Security (CARES) Act†are funding programs that will supplement the state and local response to the COVID19 crisis as well as several policy changes that impact Massachusetts residents"
"mass211","Information can be found COVID19 Vaccine Equity Initiative: Support for municipalities and local boards of health | Massgov and COVID19 Vaccine Equity Initiative: Additional funding supports for local boards of health | Massgov"
"mass213","Information on food assistance (SNAP) and economic assistance (TAFDC EAEDC) and other resources and announcements from the Department of Transitional Assistance (DTA) related to COVID19"
"mass214","Information on food assistance (SNAP) and economic assistance (TAFDC EAEDC) and other resources and announcements from the Department of Transitional Assistance (DTA) related to the coronavirus (COVID19)"
"mass221","Last month the Administration began releasing data on the average daily COVID cases per 100000 residents average percent positivity and total case counts for all 351 Massachusetts cities and towns"
"mass222","Led by the administration's COVID19 Response Command Center Partners In Health will coordinate closely with the Massachusetts Department of Public Health and the Executive Office of Health and Human Services"
"mass223","Led by the COVID19 Command Center the Administration outlined today interdepartmental programs that have been built or expanded since the start of the pandemic in March all of which strengthen the Commonwealth's ability and capacity to respond"
"mass226","Massachusetts Community Mediation Centers are offering free precourt mediation between†ãlandlords and tenants for†ãCOVID19 related lease disputes†in addition to the summary process cases referred through the courts"
"mass227","Massachusetts has launched the Vaccine Equity Initiative to work with the 20 communities hardest hit by COVID19 to increase awareness and acceptance of the vaccine access to vaccination locations and vaccine administration rates"
"mass228","Massachusetts is the only state in the nation implementing this type of programming and this collaborative tracing initiative will break new ground as we work together to slow the spread of COVID19ù"
"mass229","Massachusetts law gives you the right to cancel any contract you may have with a health club if the club substantially changes the operation of the health club or location"
"mass230","Massachusetts National Guard Activation: Today the Baker-Polito Administration authorized the activation of an additional 3000 military personnel of the Massachusetts National Guard to support the Commonwealth's COVID19 response"
"mass231","Massachusetts residents age 12 and over may get a COVID19 booster if it has been at least 5 months since their second dose of the Pfizer or Moderna vaccine or 2 months since their J&J/Janssen single dose vaccine"
"mass232","Massachusetts' robust and ambitious program offering COVID19 surveillance testing to all schools charters and special education collaboratives led the nationù said Governor Charlie Baker"
"mass233","Massachusetts†Community Mediation Centers†are offering free precourt†mediation†between†ãlandlords and tenants for†ãCOVID19 related lease disputes†in addition to the summary process cases referred through the district courts"
"mass234","MassBio in partnership with MassMEDIC the Massachusetts Health and Hospital Association and the Conference of Boston Teaching Hospitals launched the Supply Hub to help coordinate efforts aimed at bringing additional supplies and resources"
"mass235","MassHealth Financial Resources:†The Baker-Polito Administration has announced a new infusion of $800 million at MassHealth in critical stabilization funding to support health care providers impacted by and responding to COVID19"
"mass236","MassHealth Waiver & Other Requests:†Massachusetts is filing a waiver request today with the Centers for Medicare & Medicaid Services (CMS) that will give the state and its Medicaid program MassHealth more flexibility to respond to the COVID19"
"mass237","MassHousing is transferring $5 million to the Department of Housing and Community Development (DHCD) for a COVID19 Rental Assistance for Families in Transition (RAFT) fund to assist families facing rent insecurity"
"mass244","New CVS Rapid Testing Site:†Earlier today the Baker-Polito Administration and CVS announced the launch of a new rapid testing site in Lowell which will enable onthespot COVID19 testing and results at no cost"
"mass248","Nursing homes are required to report data to the CDC's National Healthcare Safety Network (NHSN) system COVID19 LongTerm Care Facility Module on resident impact facility capacity staff and personnel supplies and personal protective equipment (PPE)"
"mass249","Of the collected pooled tests Massachusetts is not aware of any in which there was more than one positive individual suggesting that there is extremely little evidence of inschool transmission of COVID19 in Massachusetts"
"mass250","On April 15th the Attorney General's Office issued guidance to municipalities on some of the most commonly asked questions about their legal authority during the COVID19 crisis"
"mass254","On May 18th the Baker-Polito Administration released Reopening Massachusetts the Reopening Advisory Board's report which details a fourphased strategy to responsibly reopen businesses and activities while continuing to fight COVID19"
"mass261","Our administration has been working for weeks to address the outbreak of COVID19 and the new Response Command Center we are launching today is an important step in our planning and preparedness effortsù said Governor Charlie Baker"
"mass262","Our administration is taking these rapid steps to protect the health and safety of our residents to mitigate the spread of COVID19ù†said Governor Charlie Baker"
"mass263","Our goal at DPH is to protect the health and wellbeing of all Massachusetts residents especially those at highest risk for COVID19ù said Commissioner Monica Bharel MD MPH"
"mass269","Per the Commonwealth's Executive Order 595 all executive department employees are required to demonstrate that they have received COVID19 vaccination and maintain full COVID19 vaccination as a condition of continuing employment as an EEC licensor"
"mass270","Persons who ARE moderately or severely immunocompromised: Administer a booster dose at least 3 months (12 weeks) after the additional primary dose of COVID19 mRNA vaccine series (ie 3rd dose)"
"mass271","Persons who ARE NOT moderately or severely immunocompromised : Administer a booster dose at least 5 calendar months after the last dose of COVID19 mRNA vaccine primary series (ie 2nd dose)"
"mass274","Pharmacies and Grocery Stores:†Today DPH issued a new order to support pharmacies and grocery stores and their employees during the COVID19 public health emergency"
"mass275","Please also refer to Guidance on COVID19 vaccine management and administration for healthcare providers & organizations for additional clinical and technical information"
"mass276","Please be advised EEClicensed child care programs must enroll on or before March 18 2022 in order to receive free COVID19 rapid antigen tests during the first week of April"
"mass277","Please note that EECs COVID19 Mitigation Protocols and Guidelines outline that PCR testing is not required to return to child care following quarantine or isolation periods due to COVID19"
"mass282","Press Release†Baker-Polito Administration Announces Extension of School and NonEmergency Child Care Program Closures and Steps to Ensure Housing Stability To Support COVID19 Response"
"mass283","Press Release†Baker-Polito Administration Announces Field Medical Station Details New Support for Health Care Workforce Expanded COVID19 Data Reporting and Domestic Violence Resources"
"mass284","Press Release†Baker-Polito Administration Announces Increased Resources For Health Care Providers Expanded Support For LongTerm Care Facilities COVID19 Testing Initiatives"
"mass285","Press Release†Baker-Polito Administration Announces Launch of Pilot to Provide Dedicated COVID19 Testing Sites to Child Care Programs Expanded Resources for Providers"
"mass286","Press Release†Baker-Polito Administration Announces New Actions To Expand Health Care Workforce Other Actions To Support Providers Business During COVID19"
"mass287","Press Release†Baker-Polito Administration Issues Further Public Health Guidance to Mitigate Spread of COVID19 Expands First Responder Testing Sites to Include Grocery Store Workers and Authorizes Increased National Guard Activation"
"mass288","Press Release†Baker-Polito Administration's First in the Nation COVID19 Pooled Testing Initiative Finds 07% Positivity Rate in Schools Throughout Commonwealth"
"mass289","Programs that do not adhere to EEC's Testing for Child Care Protocols and Covid19 Mitigation Protocols and Guidelines for Child Care are not eligible to receive free rapid antigen tests from the Commonwealth"
"mass291","Providers must administer COVID19 Vaccine regardless of the vaccine recipient's ability to pay administration fees†or the recipient's insurance coverage status"
